r_fighter,b_fighter
Chad Laprise,Thibault Gouti
Kyle Bochniak,Enrique Barzola
Jeremy Kennedy,Alex Ricci
Alexander Gustafsson,Jan Blachowicz
Josh Barnett,Andrei Arlovski
Ryan Bader,Ilir Latifi
Nick Hein,Tae Hyun Bang
Jessin Ayari,Jim Wallhead
Peter Sobotta,Nicolas Dalby
Ashlee Evans-Smith,Veronica Hardy
Taylor Lapilus,Leandro Issa
Jack Hermansson,Scott Askham
Rustam Khabilov,Leandro Silva
Jarjis Danho,Christian Colombo
Stipe Miocic,Alistair Overeem
Fabricio Werdum,Travis Browne
Mickey Gall,CM Punk
Jimmie Rivera,Urijah Faber
Yancy Medeiros,Sean Spencer
Bethe Correia,Jessica Eye
Brad Tavares,Caio Magalhaes
Nik Lentz,Michael McBride
Drew Dober,Jason Gonzalez
Jessica Andrade,Joanne Wood
Evan Dunham,Ricky Glenn
Roan Carneiro,Kenny Robertson
Michael Johnson,Dustin Poirier
Derek Brunson,Uriah Hall
Islam Makhachev,Chris Wade
Gabriel Benitez,Sam Sicilia
Alejandro Perez,Albert Morales
Belal Muhammad,Augusto Montano
Antonio Carlos Junior,Leonardo Guimaraes
Jose Quinonez,Joey Gomez
Randy Brown,Erick Montano
Chas Skelly,Maximo Blanco
Cristiane Justino,Lina Lansberg
Renan Barao,Phillipe Nover
Roy Nelson,Antonio Silva
Francisco Trinaldo,Paul Felder
Eric Spicely,Thiago Santos
Godofredo Pepey,Mike de la Torre
Michel Prazeres,Gilbert Burns
Rani Yahya,Michinori Tanaka
Erick Silva,Luan Chagas
Alan Patrick,Stevie Ray
Vicente Luque,Hector Urbina
Gregor Gillespie,Glaico Franca Moreira
Jussier Formiga,Dustin Ortiz
Brandon Moreno,Louis Smolka
John Lineker,John Dodson
Henrique da Silva,Joachim Christensen
Alex Oliveira,Will Brooks
Andre Fili,Hacran Dias
Zak Ottow,Joshua Burkman
Elizeu Zaleski dos Santos,Keita Nakamura
Nate Marquardt,Tamdan McCrory
Ion Cutelaba,Jonathan Wilson
Curtis Blaydes,Cody East
Ketlen Vieira,Kelly Faszholz
Shamil Abdurakhimov,Walt Harris
Gegard Mousasi,Vitor Belfort
Jimi Manuwa,Ovince Saint Preux
Stefan Struve,Daniel Omielanczuk
Mirsad Bektic,Russell Doane
Michael Bisping,Dan Henderson
Damian Stasiak,Davey Grant
Leon Edwards,Albert Tumenov
Marc Diakiese,Lukasz Sajewski
Mike Perry,Danny Roberts
Leonardo Santos,Adriano Martins
Iuri Alcantara,Brad Pickett
Tony Ferguson,Rafael Dos Anjos
Diego Sanchez,Marcin Held
Ricardo Lamas,Charles Oliveira
Martin Bravo,Claudio Puelles
Beneil Dariush,Rashid Magomedov
Alexa Grasso,Heather Clark
Max Griffin,Erick Montano
Joe Soto,Marco Beltran
Douglas Silva de Andrade,Henry Briones
Sam Alvey,Alex Nicholson
Marco Polo Reyes,Jason Novelli
Enrique Barzola,Chris Avila
Erik Perez,Felipe Arantes
Yoel Romero,Chris Weidman
Raquel Pennington,Miesha Tate
Conor McGregor,Eddie Alvarez
Joanna Jedrzejczyk,Karolina Kowalkiewicz
Frankie Edgar,Jeremy Stephens
Vicente Luque,Belal Muhammad
Tim Boetsch,Rafael Natal
Liz Carmouche,Katlyn Cerminara
Khabib Nurmagomedov,Michael Johnson
Tyron Woodley,Stephen Thompson
Jim Miller,Thiago Alves
Ryan Bader,Rogerio Nogueira
Thomas Almeida,Albert Morales
Claudia Gadelha,Cortney Casey
Krzysztof Jotko,Thales Leites
Kamaru Usman,Warlley Alves
Sergio Moraes,Zak Ottow
Cezar Ferreira,Jack Hermansson
Gadzhimurad Antigulov,Marcos Rogerio de Lima
Johnny Eduardo,Manvel Gamburyan
Pedro Munhoz,Justin Scoggins
Gegard Mousasi,Uriah Hall
Luis Henrique,Christian Colombo
Alexander Volkov,Timothy Johnson
Abdul Razak Alhassan,Charlie Ward
Brett Johns,Kwan Ho Kwak
Marion Reneau,Milana Dudieva
Stevie Ray,Ross Pearson
Justin Ledet,Mark Godbeer
Zak Cummings,Alexander Yakovlev
Kevin Lee,Magomed Mustafaev
Kyoji Horiguchi,Ali Bagautinov
Jack Marshman,Magnus Cedenblad
Artem Lobov,Teruto Ishihara
Amanda Cooper,Anna Elmose
Robert Whittaker,Derek Brunson
Andrew Holbrook,Jake Matthews
Tyson Pedro,Khalil Rountree Jr.
Omari Akhmedov,Kyle Noke
Alexander Volkanovski,Yusuke Kasuya
Danielle Taylor,Seo Hee Ham
Jason Knight,Dan Hooker
Damien Brown,Jon Tuck
Daniel Kelly,Chris Camozzi
Jenel Lausa,Yao Zhikui
Marlon Vera,Guangyou Ning
Ben Nguyen,Geane Herrera
Jonathan Meunier,Richard Walsh
Demetrious Johnson,Tim Elliott
Joseph Benavidez,Henry Cejudo
Jorge Masvidal,Jake Ellenberger
Sara McMann,Alexis Davis
Jared Cannonier,Ion Cutelaba
Rob Font,Matt Schnell
Dong Hyun Ma,Brendan O'Reilly
Jamie Moyle,Kailin Curran
Anthony Smith,Elvis Mutapcic
Devin Clark,Josh Stansbury
Ryan Hall,Gray Maynard
Brandon Moreno,Ryan Benoit
Justine Kish,Ashley Yoder
Derrick Lewis,Shamil Abdurakhimov
Francis Ngannou,Anthony Hamilton
Corey Anderson,Sean O'Connell
Gian Villante,Saparbeg Safarov
Gerald Meerschaert,Joseph Gigliotti
Andrew Sanchez,Trevor Smith
Shane Burgos,Tiago dos Santos e Silva
Marc Diakiese,Frankie Perez
Ryan Janes,Keith Berish
Juliana Lima,JJ Aldrich
Randy Brown,Brian Camozzi
Max Holloway,Anthony Pettis
Donald Cerrone,Matt Brown
Cub Swanson,Dooho Choi
Kelvin Gastelum,Tim Kennedy
Emil Meek,Jordan Mein
Misha Cirkunov,Nikita Krylov
Olivier Aubin-Mercier,Drew Dober
Viviane Pereira,Valerie Letourneau
Matthew Lopez,Mitch Gagnon
Lando Vannata,John Makdessi
Rustam Khabilov,Jason Saggo
Dustin Ortiz,Zach Makovsky
Michelle Waterson-Gomez,Paige VanZant
Urijah Faber,Brad Pickett
Alan Jouban,Mike Perry
Paul Craig,Henrique da Silva
Mizuto Hirota,Cole Miller
Mickey Gall,Sage Northcutt
Alex Morono,James Moontasri
Josh Emmett,Scott Holtzman
Leslie Smith,Irene Aldana
Eddie Wineland,Takeya Mizugaki
Hector Sandoval,Fredy Serrano
Sultan Aliev,Bojan Velickovic
Colby Covington,Bryan Barberena
Amanda Nunes,Ronda Rousey
Cody Garbrandt,Dominick Cruz
TJ Dillashaw,John Lineker
Dong Hyun Kim,Tarec Saffiedine
Ray Borg,Louis Smolka
Neil Magny,Johny Hendricks
Antonio Carlos Junior,Marvin Vettori
Alex Garcia,Mike Pyle
Niko Price,Brandon Thatch
Yair Rodriguez,BJ Penn
Joe Lauzon,Marcin Held
Ben Saunders,Court McGee
Sergio Pettis,John Moraga
Drakkar Klose,Devin Powell
Joachim Christensen,Bojan Mihajlovic
Aleksei Oleinik,Viktor Pesta
Anthony Rocco Martin,Alex White
Nina Nunes,Jocelyn Jones-Lybarger
Walt Harris,Chase Sherman
Cyril Asker,Dmitrii Smoliakov
Augusto Mendes,Frankie Saenz
Jason Knight,Alex Caceres
Valentina Shevchenko,Julianna Pena
Jorge Masvidal,Donald Cerrone
Francis Ngannou,Andrei Arlovski
Sam Alvey,Nate Marquardt
Marcos Rogerio de Lima,Jeremy Kimball
Li Jingliang,Bobby Nash
Jordan Johnson,Henrique da Silva
Eric Spicely,Alessio Di Chirico
Jason Gonzalez,JC Cottrell
Alexandre Pantoja,Eric Shelton
Raphael Assuncao,Aljamain Sterling
Chan Sung Jung,Dennis Bermudez
Felice Herrig,Alexa Grasso
James Vick,Abel Trujillo
Volkan Oezdemir,Ovince Saint Preux
Jessica Andrade,Angela Hill
Chas Skelly,Chris Gruetzemacher
Ricardo Ramos,Michinori Tanaka
Tecia Torres,Bec Rawlings
Khalil Rountree Jr.,Daniel Jolly
Marcel Fortuna,Anthony Hamilton
Jacare Souza,Tim Boetsch
Germaine de Randamie,Holly Holm
Anderson Silva,Derek Brunson
Glover Teixeira,Jared Cannonier
Ryan LaFlare,Roan Carneiro
Belal Muhammad,Randy Brown
Wilson Reis,Yuta Sasaki
Islam Makhachev,Nik Lentz
Ricky Glenn,Phillipe Nover
Dustin Poirier,Jim Miller
Elias Theodorou,Cezar Ferreira
Derrick Lewis,Travis Browne
Johny Hendricks,Hector Lombard
Gavin Tucker,Sam Sicilia
Sara McMann,Gina Mazany
Gerald Meerschaert,Ryan Janes
Santiago Ponzinibbio,Nordine Taleb
Randa Markos,Carla Esparza
Aiemann Zahabi,Reginaldo Vieira
Thiago Santos,Jack Marshman
Paul Felder,Alex Ricci
Tyron Woodley,Stephen Thompson
David Teymur,Lando Vannata
Daniel Kelly,Rashad Evans
Cynthia Calvillo,Amanda Cooper
Alistair Overeem,Mark Hunt
Marcin Tybura,Luis Henrique
Iuri Alcantara,Luke Sanders
Mark Godbeer,Daniel Spitz
Tyson Pedro,Paul Craig
Albert Morales,Andre Soukhamthath
Darren Elkins,Mirsad Bektic
Mauricio Rua,Gian Villante
Alex Oliveira,Tim Means
Ray Borg,Jussier Formiga
Kevin Lee,Francisco Trinaldo
Edson Barboza,Beneil Dariush
Joe Soto,Rani Yahya
Michel Prazeres,Joshua Burkman
Jeremy Kennedy,Rony Jason
Paulo Costa,Garreth McLellan
Bethe Correia,Marion Reneau
Sergio Moraes,Davi Ramos
Jimi Manuwa,Corey Anderson
Gunnar Nelson,Alan Jouban
Marlon Vera,Brad Pickett
Arnold Allen,Makwan Amirkhani
Joe Duffy,Reza Madadi
Timothy Johnson,Daniel Omielanczuk
Leon Edwards,Vicente Luque
Marc Diakiese,Teemu Packalen
Brad Scott,Scott Askham
Lina Lansberg,Lucie Pudilova
Francimar Barroso,Darren Stewart
Charles Oliveira,Will Brooks
Daniel Cormier,Anthony Johnson
Gegard Mousasi,Chris Weidman
Cynthia Calvillo,Pearl Gonzalez
Thiago Alves,Patrick Cote
Myles Jury,Mike de la Torre
Katlyn Cerminara,Irene Aldana
Shane Burgos,Charles Rosa
Patrick Cummins,Jan Blachowicz
Gregor Gillespie,Andrew Holbrook
Desmond Green,Josh Emmett
Bibulatov Magomed,Jenel Lausa
Kamaru Usman,Sean Strickland
Alexander Volkov,Roy Nelson
Demetrious Johnson,Wilson Reis
Rose Namajunas,Michelle Waterson-Gomez
Robert Whittaker,Jacare Souza
Renato Moicano,Jeremy Stephens
Tom Duquesnoy,Patrick Williams
Ketlen Vieira,Ashlee Evans-Smith
Tim Elliott,Louis Smolka
Aljamain Sterling,Augusto Mendes
Devin Clark,Jake Collier
Anthony Smith,Andrew Sanchez
Zak Cummings,Nathan Coy
Rashid Magomedov,Bobby Green
Cub Swanson,Artem Lobov
Al Iaquinta,Diego Sanchez
Ovince Saint Preux,Marcos Rogerio de Lima
John Dodson,Eddie Wineland
Stevie Ray,Joe Lauzon
Mike Perry,Jake Ellenberger
Thales Leites,Sam Alvey
Scott Holtzman,Michael McBride
Danielle Taylor,Jessica Penne
Alexis Davis,Cindy Dandois
Bryan Barberena,Joe Proctor
Hector Sandoval,Matt Schnell
Brandon Moreno,Dustin Ortiz
Stipe Miocic,Junior Dos Santos
Joanna Jedrzejczyk,Jessica Andrade
Demian Maia,Jorge Masvidal
David Branch,Krzysztof Jotko
Frankie Edgar,Yair Rodriguez
Chase Sherman,Rashad Coulter
Gadzhimurad Antigulov,Joachim Christensen
Enrique Barzola,Gabriel Benitez
Jason Knight,Chas Skelly
James Vick,Marco Polo Reyes
Cortney Casey,Jessica Aguilar
Alexander Gustafsson,Glover Teixeira
Volkan Oezdemir,Misha Cirkunov
Peter Sobotta,Ben Saunders
Nordine Taleb,Oliver Enkamp
Jack Hermansson,Alex Nicholson
Omari Akhmedov,Abdul Razak Alhassan
Trevor Smith,Chris Camozzi
Joaquim Silva,Reza Madadi
Bojan Velickovic,Nicholas Musoke
Darren Till,Jessin Ayari
Damir Hadzovic,Marcin Held
Pedro Munhoz,Damian Stasiak
Paulo Costa,Oluwale Bamgbose
Max Holloway,Jose Aldo
Claudia Gadelha,Karolina Kowalkiewicz
Vitor Belfort,Nate Marquardt
Yancy Medeiros,Erick Silva
Viviane Pereira,Jamie Moyle
Antonio Carlos Junior,Eric Spicely
Matthew Lopez,Johnny Eduardo
Brian Kelleher,Iuri Alcantara
Luan Chagas,Jim Wallhead
Deiveson Figueiredo,Marco Beltran
Raphael Assuncao,Marlon Moraes
Ion Cutelaba,Henrique da Silva
Mark Hunt,Derrick Lewis
Derek Brunson,Daniel Kelly
Dan Hooker,Ross Pearson
Ben Nguyen,Tim Elliott
John Moraga,Ashkan Mokhtarian
Vinc Pichel,Damien Brown
Alexander Volkanovski,Mizuto Hirota
JJ Aldrich,Chan-Mi Jeon
Zak Ottow,Kiichi Kunimoto
Luke Jumeau,Dominique Steele
Rafael Dos Anjos,Tarec Saffiedine
Holly Holm,Bethe Correia
Marcin Tybura,Andrei Arlovski
Colby Covington,Dong Hyun Kim
Walt Harris,Cyril Asker
Jon Tuck,Takanori Gomi
Yuta Sasaki,Justin Scoggins
Li Jingliang,Frank Camacho
Russell Doane,Kwan Ho Kwak
Naoki Inoue,Carls John De Tomas
Lucie Pudilova,Ji Yeon Kim
Alex Caceres,Rolando Dy
Kevin Lee,Michael Chiesa
Tim Boetsch,Johny Hendricks
Felice Herrig,Justine Kish
Dominick Reyes,Joachim Christensen
Tim Means,Alex Garcia
Dennis Siver,BJ Penn
Clay Guida,Erik Koch
Carla Esparza,Maryna Moroz
Darrell Horcher,Devin Powell
Jared Gordon,Michel Quinones
Anthony Rocco Martin,Johnny Case
Jeremy Kimball,Josh Stansbury
Marvin Vettori,Vitor Miranda
Justin Gaethje,Michael Johnson
Jesse Taylor,Dhiego Lima
Drakkar Klose,Marc Diakiese
Jared Cannonier,Nick Roehrick
Brad Tavares,Elias Theodorou
Jordan Johnson,Marcel Fortuna
Angela Hill,Ashley Yoder
James Krause,Tom Gallicchio
CB Dollaway,Ed Herman
Tecia Torres,Juliana Lima
Gray Maynard,Teruto Ishihara
Robert Whittaker,Yoel Romero
Alistair Overeem,Fabricio Werdum
Curtis Blaydes,Daniel Omielanczuk
Anthony Pettis,Jim Miller
Rob Font,Douglas Silva de Andrade
Trevin Giles,James Bochnovic
Chad Laprise,Brian Camozzi
Thiago Santos,Gerald Meerschaert
Belal Muhammad,Jordan Mein
Cody Stamann,Terrion Ware
Aleksei Oleinik,Travis Browne
Santiago Ponzinibbio,Gunnar Nelson
Jack Marshman,Ryan Janes
Cynthia Calvillo,Joanne Wood
Paul Felder,Stevie Ray
Khalil Rountree Jr.,Paul Craig
Brett Johns,Albert Morales
Danny Roberts,Bobby Nash
Alexandre Pantoja,Neil Seery
Galore Bofando,Charlie Ward
Danny Henry,Daniel Teymur
Leslie Smith,Amanda Lemos
Justin Willis,James Mulheron
Chris Weidman,Kelvin Gastelum
Darren Elkins,Dennis Bermudez
Patrick Cummins,Gian Villante
Jimmie Rivera,Thomas Almeida
Elizeu Zaleski dos Santos,Lyman Good
Eryk Anders,Rafael Natal
Alex Oliveira,Ryan LaFlare
Jeremy Kennedy,Kyle Bochniak
Marlon Vera,Brian Kelleher
Junior Albini,Timothy Johnson
Shane Burgos,Godofredo Pepey
Chris Wade,Frankie Perez
Chase Sherman,Damian Grabowski
Volkan Oezdemir,Jimi Manuwa
Tyron Woodley,Demian Maia
Cristiane Justino,Tonya Evinger
Robbie Lawler,Donald Cerrone
Ricardo Lamas,Jason Knight
Aleksandra Albu,Kailin Curran
Brian Ortega,Renato Moicano
Calvin Kattar,Andre Fili
Drew Dober,Joshua Burkman
Jarred Brooks,Eric Shelton
Aljamain Sterling,Renan Barao
Sergio Pettis,Brandon Moreno
Alexa Grasso,Randa Markos
Niko Price,Alan Jouban
Humberto Bandenay,Martin Bravo
Sam Alvey,Rashad Evans
Alejandro Perez,Andre Soukhamthath
Jack Hermansson,Brad Scott
Dustin Ortiz,Hector Sandoval
Rani Yahya,Henry Briones
Jose Quinonez,Diego Rivas
Joseph Morales,Robert Sanchez
Jordan Rinaldi,Alvaro Herrera Mendoza
Alexander Volkov,Stefan Struve
Marion Reneau,Talita Bernardo
Leon Edwards,Bryan Barberena
Darren Till,Bojan Velickovic
Mairbek Taisumov,Felipe Silva
Siyar Bahadurzada,Rob Wilkinson
Rustam Khabilov,Desmond Green
Aleksandar Rakic,Francimar Barroso
Zabit Magomedsharipov,Mike Santiago
Thibault Gouti,Andrew Holbrook
Abdul-Kerim Edilov,Bojan Mihajlovic
Michel Prazeres,Mads Burnell
Rafael Dos Anjos,Neil Magny
Henry Cejudo,Wilson Reis
Ilir Latifi,Tyson Pedro
Jeremy Stephens,Gilbert Melendez
Amanda Nunes,Valentina Shevchenko
Sarah Moras,Ashlee Evans-Smith
Ricky Glenn,Gavin Tucker
Alex White,Mitch Clarke
Arjan Bhullar,Luis Henrique
Kajan Johnson,Adriano Martins
Ketlen Vieira,Sara McMann
Luke Rockhold,David Branch
Mike Perry,Alex Reyes
Anthony Smith,Hector Lombard
Gregor Gillespie,Jason Gonzalez
Justin Ledet,Azunna Anyanwu
Olivier Aubin-Mercier,Anthony Rocco Martin
Daniel Spitz,Anthony Hamilton
Uriah Hall,Krzysztof Jotko
Gilbert Burns,Jason Saggo
Kamaru Usman,Sergio Moraes
Dong Hyun Ma,Takanori Gomi
Ovince Saint Preux,Yushin Okami
Jessica Andrade,Claudia Gadelha
Gokhan Saki,Henrique da Silva
Teruto Ishihara,Rolando Dy
Jussier Formiga,Yuta Sasaki
Keita Nakamura,Alex Morono
Syuri Kondo,Chan-Mi Jeon
Shinsho Anzai,Luke Jumeau
Daichi Abe,Hyun Gyu Lim
Tony Ferguson,Kevin Lee
Demetrious Johnson,Ray Borg
Fabricio Werdum,Walt Harris
Mara Romero Borella,Kalindra Faria
Cody Stamann,Tom Duquesnoy
Matt Schnell,Marco Beltran
John Moraga,Bibulatov Magomed
Brad Tavares,Thales Leites
Lando Vannata,Bobby Green
Beneil Dariush,Evan Dunham
Poliana Botelho,Pearl Gonzalez
Oskar Piechota,Jonathan Wilson
Darren Till,Donald Cerrone
Karolina Kowalkiewicz,Jodie Esquibel
Jan Blachowicz,Devin Clark
Marcin Held,Nasrat Haqparast
Josh Emmett,Felipe Arantes
Ramazan Emeev,Sam Alvey
Andre Fili,Artem Lobov
Warlley Alves,Salim Touahri
Aspen Ladd,Lina Lansberg
Brian Kelleher,Damian Stasiak
Francisco Trinaldo,Jim Miller
Derek Brunson,Lyoto Machida
Colby Covington,Demian Maia
Pedro Munhoz,Rob Font
Thiago Santos,Jack Hermansson
Deiveson Figueiredo,Jarred Brooks
Vicente Luque,Niko Price
Antonio Carlos Junior,Jack Marshman
Jared Gordon,Hacran Dias
Elizeu Zaleski dos Santos,Max Griffin
Marcelo Golm,Christian Colombo
John Lineker,Marlon Vera
Georges St-Pierre,Michael Bisping
TJ Dillashaw,Cody Garbrandt
Rose Namajunas,Joanna Jedrzejczyk
Stephen Thompson,Jorge Masvidal
Paulo Costa,Johny Hendricks
James Vick,Joe Duffy
Ovince Saint Preux,Corey Anderson
Randy Brown,Mickey Gall
Curtis Blaydes,Aleksei Oleinik
Ricardo Ramos,Aiemann Zahabi
Mark Godbeer,Walt Harris
Raphael Assuncao,Matthew Lopez
Dustin Poirier,Anthony Pettis
Matt Brown,Diego Sanchez
Andrei Arlovski,Junior Albini
Clay Guida,Joe Lauzon
Cezar Ferreira,Nate Marquardt
Tatiana Suarez,Viviane Pereira
Sage Northcutt,Michel Quinones
Karl Roberson,Darren Stewart
Nina Nunes,Angela Hill
Sean Strickland,Court McGee
Jake Collier,Marcel Fortuna
Marlon Moraes,John Dodson
Fabricio Werdum,Marcin Tybura
Jessica-Rose Clark,Bec Rawlings
Belal Muhammad,Tim Means
Jake Matthews,Bojan Velickovic
Elias Theodorou,Daniel Kelly
Alexander Volkanovski,Shane Young
Ryan Benoit,Ashkan Mokhtarian
Nik Lentz,Will Brooks
Tai Tuivasa,Rashad Coulter
Frank Camacho,Damien Brown
Nadia Kassem,Alex Chambers
Eric Shelton,Jenel Lausa
Adam Wieczorek,Anthony Hamilton
Li Jingliang,Zak Ottow
Wang Guan,Alex Caceres
Alex Garcia,Muslim Salikhov
Zabit Magomedsharipov,Sheymon Moraes
Song Kenan,Bobby Nash
Kelvin Gastelum,Michael Bisping
Song Yadong,Bharat Kandare
Shamil Abdurakhimov,Chase Sherman
Gina Mazany,Wu Yanan
Rolando Dy,Wulijiburen
Cyril Asker,Hu Yaozong
Yan Xiaonan,Kailin Curran
Nicco Montano,Roxanne Modafferi
Sean O'Malley,Terrion Ware
Lauren Murphy,Barb Honchak
Gerald Meerschaert,Eric Spicely
Brett Johns,Joe Soto
Ryan Janes,Andrew Sanchez
Rachael Ostovich,Karine Gevorgyan
Shana Dobson,Ariel Beck
Gillian Robertson,Emily Whitmire
DeAnna Bennett,Melinda Fabian
Montana De La Rosa,Christina Marks
Tecia Torres,Michelle Waterson-Gomez
Max Holloway,Jose Aldo
Francis Ngannou,Alistair Overeem
Henry Cejudo,Sergio Pettis
Eddie Alvarez,Justin Gaethje
Paul Felder,Charles Oliveira
Dominick Reyes,Jeremy Kimball
David Teymur,Drakkar Klose
Felice Herrig,Cortney Casey
Amanda Cooper,Angela Magana
Abdul Razak Alhassan,Sabah Homasi
Justin Willis,Allen Crowder
Yancy Medeiros,Alex Oliveira
Brian Ortega,Cub Swanson
Gabriel Benitez,Jason Knight
Eryk Anders,Markus Perez
Marlon Moraes,Aljamain Sterling
Scott Holtzman,Darrell Horcher
Benito Lopez,Albert Morales
Alejandro Perez,Iuri Alcantara
Andre Soukhamthath,Luke Sanders
Alex Perez,Carls John De Tomas
Frankie Saenz,Merab Dvalishvili
Davi Ramos,Chris Gruetzemacher
Trevin Giles,Antonio Braga Neto
Alexis Davis,Liz Carmouche
Josh Emmett,Ricardo Lamas
Santiago Ponzinibbio,Mike Perry
Glover Teixeira,Misha Cirkunov
Jan Blachowicz,Jared Cannonier
Rafael Dos Anjos,Robbie Lawler
Chad Laprise,Galore Bofando
Nordine Taleb,Danny Roberts
John Makdessi,Abel Trujillo
Alessio Di Chirico,Oluwale Bamgbose
Jordan Mein,Erick Silva
Julian Marquez,Darren Stewart
Cristiane Justino,Holly Holm
Khabib Nurmagomedov,Edson Barboza
Dan Hooker,Marc Diakiese
Carla Esparza,Cynthia Calvillo
Neil Magny,Carlos Condit
Matheus Nicolau,Louis Smolka
Tim Elliott,Mark De La Rosa
Marvin Vettori,Omari Akhmedov
Myles Jury,Ricky Glenn
Jeremy Stephens,Dooho Choi
Darren Elkins,Michael Johnson
Jessica-Rose Clark,Paige VanZant
Kamaru Usman,Emil Meek
James Krause,Alex White
JJ Aldrich,Danielle Taylor
Irene Aldana,Talita Bernardo
Kyung Ho Kang,Guido Cannetti
Jessica Eye,Kalindra Faria
Mads Burnell,Mike Santiago
Marco Polo Reyes,Matt Frevola
Stipe Miocic,Francis Ngannou
Daniel Cormier,Volkan Oezdemir
Calvin Kattar,Shane Burgos
Gian Villante,Francimar Barroso
Rob Font,Thomas Almeida
Abdul Razak Alhassan,Sabah Homasi
Dustin Ortiz,Alexandre Pantoja
Julio Arce,Dan Ige
Enrique Barzola,Matt Bessette
Islam Makhachev,Gleison Tibau
Kyle Bochniak,Brandon Davis
Bobby Green,Erik Koch
Andre Fili,Dennis Bermudez
Gregor Gillespie,Jordan Rinaldi
Drew Dober,Frank Camacho
Mirsad Bektic,Godofredo Pepey
Jacare Souza,Derek Brunson
Randa Markos,Juliana Lima
Ji Yeon Kim,Justine Kish
Vinc Pichel,Joaquim Silva
Niko Price,George Sullivan
Cory Sandhagen,Austin Arnett
Katlyn Cerminara,Mara Romero Borella
Lyoto Machida,Eryk Anders
Valentina Shevchenko,Priscila Cachoeira
Michel Prazeres,Desmond Green
Timothy Johnson,Marcelo Golm
Douglas Silva de Andrade,Marlon Vera
Thiago Santos,Anthony Smith
Sergio Moraes,Tim Means
Alan Patrick,Damir Hadzovic
Polyana Viana,Maia Stevenson
Iuri Alcantara,Joe Soto
Deiveson Figueiredo,Joseph Morales
Yoel Romero,Luke Rockhold
Curtis Blaydes,Mark Hunt
Tai Tuivasa,Cyril Asker
Jake Matthews,Li Jingliang
Tyson Pedro,Saparbeg Safarov
Luke Jumeau,Daichi Abe
Israel Adesanya,Rob Wilkinson
Alexander Volkanovski,Jeremy Kennedy
Jussier Formiga,Ben Nguyen
Ross Pearson,Mizuto Hirota
Jose Quinonez,Teruto Ishihara
Dong Hyun Ma,Damien Brown
Curtis Millender,Thiago Alves
Donald Cerrone,Yancy Medeiros
Derrick Lewis,Marcin Tybura
James Vick,Francisco Trinaldo
Brandon Davis,Steven Peterson
Oskar Piechota,Tim Williams
Diego Ferreira,Jared Gordon
Geoff Neal,Brian Camozzi
Robert Sanchez,Joby Sanchez
Lucie Pudilova,Sarah Moras
Alex Morono,Joshua Burkman
Sage Northcutt,Thibault Gouti
Jeremy Stephens,Josh Emmett
Jessica Andrade,Tecia Torres
Ilir Latifi,Ovince Saint Preux
Max Griffin,Mike Perry
Brian Kelleher,Renan Barao
Marion Reneau,Sara McMann
Alan Jouban,Ben Saunders
Sam Alvey,Marcin Prachnio
Rani Yahya,Russell Doane
Alex Perez,Eric Shelton
Manny Bermudez,Albert Morales
Angela Hill,Maryna Moroz
Andrei Arlovski,Stefan Struve
Cristiane Justino,Yana Santos
Brian Ortega,Frankie Edgar
Sean O'Malley,Andre Soukhamthath
Ketlen Vieira,Cat Zingano
John Dodson,Pedro Munhoz
Alexander Hernandez,Beneil Dariush
Jordan Johnson,Adam Milstead
CB Dollaway,Hector Lombard
Zak Ottow,Mike Pyle
Cody Stamann,Bryan Caraway
Mackenzie Dern,Ashley Yoder
Alexander Volkov,Fabricio Werdum
Jan Blachowicz,Jimi Manuwa
Tom Duquesnoy,Terrion Ware
Leon Edwards,Peter Sobotta
Danny Roberts,Oliver Enkamp
Danny Henry,Hakeem Dawodu
Paul Craig,Magomed Ankalaev
Kajan Johnson,Stevie Ray
Dmitry Sosnovskiy,Mark Godbeer
Charles Byrd,John Phillips
Renato Moicano,Calvin Kattar
Khabib Nurmagomedov,Al Iaquinta
Rose Namajunas,Joanna Jedrzejczyk
Zabit Magomedsharipov,Kyle Bochniak
Devin Clark,Mike Rodriguez
Karolina Kowalkiewicz,Felice Herrig
Olivier Aubin-Mercier,Evan Dunham
Ashlee Evans-Smith,Bec Rawlings
Chris Gruetzemacher,Joe Lauzon
Dustin Poirier,Justin Gaethje
Alex Oliveira,Carlos Condit
Israel Adesanya,Marvin Vettori
Antonio Carlos Junior,Tim Boetsch
Michelle Waterson-Gomez,Cortney Casey
Muslim Salikhov,Ricky Rainey
Yushin Okami,Dhiego Lima
Brad Tavares,Krzysztof Jotko
Gilbert Burns,Dan Moret
Lauren Mueller,Shana Dobson
Adam Wieczorek,Arjan Bhullar
Alejandro Perez,Matthew Lopez
Luke Sanders,Patrick Williams
John Moraga,Wilson Reis
Kevin Lee,Edson Barboza
Frankie Edgar,Cub Swanson
Justin Willis,Chase Sherman
David Branch,Thiago Santos
Aljamain Sterling,Brett Johns
Dan Hooker,Jim Miller
Ricky Simon,Merab Dvalishvili
Siyar Bahadurzada,Luan Chagas
Corey Anderson,Patrick Cummins
Anthony Rocco Martin,Keita Nakamura
Ryan LaFlare,Alex Garcia
Amanda Nunes,Raquel Pennington
Kelvin Gastelum,Jacare Souza
Lyoto Machida,Vitor Belfort
John Lineker,Brian Kelleher
Cezar Ferreira,Karl Roberson
Mackenzie Dern,Amanda Cooper
Davi Ramos,Nick Hein
